Rooms,DistanceToCenter,PupilTeacherRatio,Price
6.009,3.37,18.7,18.8
6.176,3.37,18.7,17.2
6.014,3.37,18.7,16.5
6.226,3.37,18.7,16.5
6.066,3.37,18.7,11.0
5.741,3.37,18.7,11.3
5.985,3.37,18.7,11.8
6.411,4.09,19.2,11.9
6.758,4.09,19.2,21.6
7.061,4.09,19.2,23.8
7.135,4.09,19.2,21.9
7.267,4.09,19.2,24.3
8.297,4.09,19.2,50.0
8.337,4.09,19.2,50.0
8.259,4.09,19.2,50.0
8.247,4.09,19.2,48.3
6.726,4.09,19.2,25.0
6.086,4.09,19.2,24.0
6.63,4.09,19.2,21.6
6.127,4.09,19.2,23.9
6.625,4.09,19.2,21.6
6.398,4.09,18.7,23.0
6.009,4.09,18.7,21.6
6.176,4.09,18.7,20.0
6.014,4.09,18.7,19.6
6.226,4.49,18.7,18.4
6.066,4.49,18.7,17.5
5.741,4.49,18.7,17.6
5.985,4.49,18.7,14.6
6.411,4.49,18.7,17.8
6.758,4.49,18.7,20.0
7.061,4.49,18.7,20.6
7.135,4.49,18.7,20.7
7.267,4.49,18.7,21.0
8.297,4.49,18.7,22.0
8.337,4.49,18.7,25.4
8.259,4.49,18.7,25.5
8.247,4.49,18.7,30.2
6.726,4.49,18.7,30.3
6.086,4.49,18.7,30.5
6.63,4.49,18.7,35.0
6.127,4.49,18.7,35.1
6.625,4.49,18.7,35.2
6.398,4.49,18.7,35.4
6.009,4.49,18.7,36.0
6.176,4.49,18.7,37.0
6.014,4.49,18.7,38.0
6.226,4.49,18.7,39.0
6.066,4.49,18.7,40.0
5.741,4.49,18.7,41.0
5.985,4.49,18.7,42.0
6.411,4.49,18.7,43.0
6.758,4.49,18.7,44.0
7.061,4.49,18.7,45.0
7.135,4.49,18.7,46.0
7.267,4.49,18.7,47.0
8.297,4.49,18.7,48.0
8.337,4.49,18.7,49.0
8.259,4.49,18.7,50.0
8.247,4.49,18.7,50.0
6.726,4.49,18.7,50.1
6.086,4.49,18.7,50.2
6.63,4.49,18.7,50.3
6.127,4.49,18.7,50.4
6.625,4.49,18.7,50.5
6.398,4.49,18.7,50.6
6.009,4.49,18.7,50.7
6.176,4.49,18.7,50.8
6.014,4.49,18.7,50.9
6.226,4.49,18.7,51.0
6.066,4.49,18.7,51.1
5.741,4.49,18.7,51.2
5.985,4.49,18.7,51.3
6.411,4.49,18.7,51.4
6.758,4.49,18.7,51.5
7.061,4.49,18.7,51.6
7.135,4.49,18.7,51.7
7.267,4.49,18.7,51.8
8.297,4.49,18.7,51.9
8.337,4.49,18.7,52.0
8.259,4.49,18.7,52.1
8.247,4.49,18.7,52.2
6.726,4.49,18.7,52.3
6.086,4.49,18.7,52.4
6.63,4.49,18.7,52.5
6.127,4.49,18.7,52.6
6.625,4.49,18.7,52.7
6.398,4.49,18.7,52.8
6.009,4.49,18.7,52.9
6.176,4.49,18.7,53.0
6.014,4.49,18.7,53.1
6.226,4.49,18.7,53.2
6.066,4.49,18.7,53.3
5.741,4.49,18.7,53.4
5.985,4.49,18.7,53.5
6.411,4.49,18.7,53.6
6.758,4.49,18.7,53.7
7.061,4.49,18.7,53.8
7.135,4.49,18.7,53.9
7.267,4.49,18.7,54.0
8.297,4.49,18.7,54.1
8.337,4.49,18.7,54.2
8.259,4.49,18.7,54.3
8.247,4.49,18.7,54.4
6.726,4.49,18.7,54.5
6.086,4.49,18.7,54.6
6.63,4.49,18.7,54.7
6.127,4.49,18.7,54.8
6.625,4.49,18.7,54.9
6.398,4.49,18.7,55.0
6.009,4.49,18.7,55.1
6.176,4.49,18.7,55.2
6.014,4.49,18.7,55.3
6.226,4.49,18.7,55.4
6.066,4.49,18.7,55.5
5.741,4.49,18.7,55.6
5.985,4.49,18.7,55.7
6.411,4.49,18.7,55.8
6.758,4.49,18.7,55.9
7.061,4.49,18.7,56.0
7.135,4.49,18.7,56.1
7.267,4.49,18.7,56.2
8.297,4.49,18.7,56.3
8.337,4.49,18.7,56.4
8.259,4.49,18.7,56.5
8.247,4.49,18.7,56.6
6.726,4.49,18.7,56.7
6.086,4.49,18.7,56.8
6.63,4.49,18.7,56.9
6.127,4.49,18.7,57.0
6.625,4.49,18.7,57.1
6.398,4.49,18.7,57.2
6.009,4.49,18.7,57.3
6.176,4.49,18.7,57.4
6.014,4.49,18.7,57.5
6.226,4.49,18.7,57.6
6.066,4.49,18.7,57.7
5.741,4.49,18.7,57.8
5.985,4.49,18.7,57.9
6.411,4.49,18.7,58.0
6.758,4.49,18.7,58.1
7.061,4.49,18.7,58.2
7.135,4.49,18.7,58.3
7.267,4.49,18.7,58.4
8.297,4.49,18.7,58.5
8.337,4.49,18.7,58.6
8.259,4.49,18.7,58.7
8.247,4.49,18.7,58.8
6.726,4.49,18.7,58.9
6.086,4.49,18.7,59.0
6.63,4.49,18.7,59.1
6.127,4.49,18.7,59.2
6.625,4.49,18.7,59.3
6.398,4.49,18.7,59.4
6.009,4.49,18.7,59.5
6.176,4.49,18.7,59.6
6.014,4.49,18.7,59.7
6.226,4.49,18.7,59.8
6.066,4.49,18.7,59.9
5.741,4.49,18.7,60.0
